Stations_id,von,bis,hoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Landkreis
6159,20081201,20210308,8,529.542,73.196,Dörpen,Niedersachsen,Landkreis Emsland
6163,20061110,20210307,27,541.654,103.519,Dörnick,Schleswig-Holstein,Plön
6196,20110520,20210307,611,501.587,120.386,Selb-Spielberg,Bayern,Landkreis Wunsiedel im Fichtelgebirge
6197,20060928,20210307,258,518.664,92.71,Lügde-Paenbruch,Nordrhein-Westfalen,Kreis Lippe
6211,19910319,20210307,464,479.55,121.735,Vogtareuth (Kläranlage),Bayern,Landkreis Rosenheim
6238,20011123,20170729,675,479.946,112.69,Starnberg-Perchting,Bayern,Landkreis Starnberg
6253,20011001,20210307,31,524.228,125.667,Brandenburg/Havel,Brandenburg,Brandenburg an der Havel
6314,20061127,20210308,306,510.507,133.003,Nossen,Sachsen,Meißen
6344,20101001,20210308,168,503.94,81.423,Runkel-Ennerich,Hessen,Landkreis Limburg-Weilburg
7244,19911101,20040928,62,531.424,130.319,Neuglobsow (HM),Brandenburg,Oberhavel
7308,20000407,20180125,541,478.847,111.54,Wielenbach,Bayern,Landkreis Weilheim-Schongau
7341,20050801,20210307,119,500.899,87.862,Offenbach-Wetterpark,Hessen,Offenbach am Main
7351,20050909,20210307,116,533.175,134.175,Feldberg/Mecklenburg,Mecklenburg-Vorpommern,Mecklenburgische Seenplatte
7367,20071201,20210307,144,519.643,98.072,Alfeld,Niedersachsen,Landkreis Hildesheim
7368,20071101,20210307,312,510.007,103.621,Eisenach,Thüringen,Wutha-Farnroda
7369,20071101,20210307,475,491.623,103.661,Feuchtwangen-Heilbronn,Bayern,Landkreis Ansbach
7370,20061211,20210307,499,493.91,126.838,Waldmünchen,Bayern,Landkreis Cham
7374,20060301,20210307,46,520.813,69.409,Ahaus,Nordrhein-Westfalen,Kreis Borken
7389,20130501,20210308,82,527.461,138.427,Heckelberg,Brandenburg,Märkisch-Oderland
7391,20120201,20210307,443,495.561,89.669,Oberzent-Beerfelden-Vogelherd,Hessen,Odenwaldkreis
7392,20080101,20210307,304,503.332,104.487,Aubstadt,Bayern,Landkreis Rhön-Grabfeld
7393,20100101,20210307,116,514.493,142.533,Hoyerswerda,Sachsen,Bautzen
7394,20060602,20210307,622,500.315,119.745,Wunsiedel-Schönbrunn,Bayern,Landkreis Wunsiedel im Fichtelgebirge
7395,20071201,20210307,351,486.595,125.388,Gottfrieding,Bayern,Landkreis Dingolfing-Landau
7396,20080501,20210307,743,505.084,92.246,Hoherodskopf/Vogelsberg,Hessen,Vogelsbergkreis
7403,20070402,20210307,672,477.955,100.324,Leutkirch-Herlazhofen,Baden-Württemberg,Landkreis Ravensburg
7410,20110201,20210307,350,507.513,90.224,Neu-Ulrichstein,Hessen,Vogelsbergkreis
7412,20061001,20210307,340,500.083,94.238,Neuhütten/Spessart,Bayern,Landkreis Main-Spessart
7416,20080911,20210307,541,510.112,82.733,Birkelbach,Nordrhein-Westfalen,Kreis Siegen-Wittgenstein
10510,20090101,20210307,241,488.059,95.046,Winterbach/Remstal,Baden-Württemberg,Rems-Murr-Kreis
13674,20070801,20210307,237,492.943,89.053,Waibstadt,Baden-Württemberg,Rhein-Neckar-Kreis
13676,20100101,20210307,378,488.608,120.323,Langquaid-Oberschneidhart,Bayern,Landkreis Kelheim
13693,20080612,20210307,70,519.258,83.111,Gütersloh/Ems,Nordrhein-Westfalen,Kreis Gütersloh
13701,20080901,20210307,250,511.945,99.885,Eschwege-Eltmannshausen,Hessen,Werra-Meißner-Kreis
