Stations_id,von,bis,hoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Landkreis
2171,19941221,20210307,272,50.852,9.7377,"Hersfeld, Bad",Hessen,Landkreis Hersfeld-Rotenburg
2174,20101101,20210308,238,51.6255,10.3695,Herzberg,Niedersachsen,Landkreis Göttingen
2201,20050601,20210308,1,54.575,13.1044,Hiddensee-Vitte,Mecklenburg-Vorpommern,Vorpommern-Rügen
2211,20030708,20210308,295,50.7371,7.6528,Hilgenroth,Rheinland-Pfalz,Landkreis Altenkirchen
2252,20050701,20210308,270,50.899,14.7457,Bertsdorf-Hörnitz,Sachsen,Görlitz
2261,19980212,20210307,565,50.3123,11.876,Hof,Bayern,Hof
2290,19931210,20210307,977,47.8009,11.0108,Hohenpeißenberg,Bayern,Landkreis Weilheim-Schongau
2306,20050706,20210308,8,54.3194,10.6732,Hohwacht,Schleswig-Holstein,Plön
2319,20050429,20210307,685,47.8823,11.6961,Holzkirchen,Bayern,Landkreis Miesbach
2323,20060701,20210308,110,51.8529,9.4953,"Bevern, Kr. Holzminden",Niedersachsen,Landkreis Holzminden
2362,20040801,20210307,328,50.5651,7.4843,Hümmerich,Rheinland-Pfalz,Landkreis Neuwied
2429,20030705,20210307,21,53.9897,9.5696,Itzehoe,Schleswig-Holstein,Steinburg
2444,20040512,20210308,155,50.9251,11.583,Jena (Sternwarte),Thüringen,Jena
2480,20040716,20210308,108,50.0643,8.993,Kahl/Main,Bayern,Landkreis Aschaffenburg
2483,19950804,20210307,839,51.1803,8.4891,Kahler Asten,Nordrhein-Westfalen,Hochsauerlandkreis
2485,20110501,20210307,489,48.917,9.6871,Kaisersbach-Cronhütte,Baden-Württemberg,Rems-Murr-Kreis
2486,20050301,20210308,271,49.4262,7.7557,Kaiserslautern,Rheinland-Pfalz,Kaiserslautern
2497,20030605,20210308,505,50.5014,6.5264,Kall-Sistig,Nordrhein-Westfalen,Kreis Euskirchen
2503,19911102,20030331,487,50.6266,10.1455,Kaltennordheim,Thüringen,Landkreis Schmalkalden-Meiningen
